stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
1800EB06161,mantgajt,"Manchester City Centre, Piccadilly/Chatham St (Stop EX)",53.48039,-2.23418,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800EB06161
1800EB07051,mantgdja,"Manchester City Centre, o/s Shops Piccadilly Rail Station",53.47824,-2.23192,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800EB07051
1800EB12831,managdma,"Manchester City Centre, nr Station Piccadilly Rail Station",53.47777,-2.23192,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800EB12831
1800NB04351,mandjmtd,"Manchester City Centre, Corporation St/Victoria (Stop NS)",53.48668,-2.24104,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800NB04351
1800NB04411,mandjmtw,"Manchester City Centre, Victoria Station Approach (Stop Nx)",53.48603,-2.24197,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800NB04411
1800NB04431,mandjmwd,"Manchester City Centre, Victoria Station Approach (Stop Ny)",53.48726,-2.24298,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800NB04431
1800NB05001,mandjmwt,"Manchester City Centre, John Dalton St/Deansgate (Stop WX)",53.4807,-2.24773,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800NB05001
1800NB05021,mandjpag,"Manchester City Centre, Bridge St/Gartside St (Stop WW)",53.48137,-2.25164,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800NB05021
1800NB29861,mandjtmj,"Spinningfields, Quay Street/Deansgate (Stop Wk)",53.4785,-2.25091,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800NB29861
1800NB29921,mandjtpg,"Castlefield, Liverpool Road/Barton St (Stop Wo)",53.47604,-2.25267,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800NB29921
1800NF03811,mangjmpm,"Salford Central Station, New Bailey St/Salford Station (Stop WV)",53.48286,-2.25427,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800NF03811
1800NF04821,mantgjap,"Salford Central Station, o/s Flats Chapel St/Trinity Way",53.48349,-2.25634,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800NF04821
1800SB02131,mangpgpd,"Manchester City Centre, York St/Mosley St (Stop Cv)",53.48087,-2.24087,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800SB02131
1800SB03991,mangpgtp,"Manchester City Centre, Princess Street/Art Gallery (SE-bound)",53.47851,-2.24184,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800SB03991
1800SB04011,mangpgtw,"Manchester City Centre, o/s Toy Shop Deansgate/King Street West",53.48125,-2.24785,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800SB04011
1800SB04121,mangpgwa,"Spinningfields, Deansgate/Spinningfields (N-bound)",53.48011,-2.24862,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=1800SB04121
